KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,»esk· n·rodnÌ fronta,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
598569,Paskov,3 220,1 928,1 909,"9,95 %","0,15 %","0,15 %","7,80 %","0,26 %","1,88 %","10,42 %","0,78 %","0,99 %","1,57 %","0,05 %","0,20 %","8,69 %","0,00 %","0,10 %","2,09 %","34,67 %","0,31 %","0,31 %","3,92 %","0,05 %","0,73 %","0,20 %","0,05 %","13,98 %","0,57 %"
552500,Pazderna,229,129,128,"5,46 %","0,78 %","0,00 %","9,37 %","0,00 %","1,56 %","5,46 %","0,78 %","0,00 %","0,78 %","0,00 %","0,00 %","11,71 %","0,00 %","0,00 %","0,78 %","35,93 %","0,00 %","0,78 %","17,18 %","0,00 %","0,00 %","0,00 %","0,00 %","9,37 %","0,00 %"
557226,PÌseËn·,764,483,481,"4,78 %","0,00 %","0,00 %","12,88 %","0,00 %","7,90 %","4,98 %","0,20 %","0,00 %","1,87 %","0,00 %","0,00 %","7,48 %","0,00 %","0,00 %","0,62 %","32,01 %","0,00 %","0,00 %","17,25 %","0,00 %","2,07 %","0,00 %","0,20 %","7,69 %","0,00 %"
512028,PÌsek,1 463,802,800,"4,25 %","0,00 %","0,12 %","13,62 %","0,00 %","5,25 %","6,12 %","0,87 %","0,25 %","0,37 %","0,37 %","0,25 %","7,37 %","0,00 %","0,00 %","0,62 %","28,87 %","0,00 %","0,00 %","17,62 %","0,00 %","0,50 %","0,12 %","0,00 %","13,25 %","0,12 %"
568813,Praûmo,751,461,460,"4,56 %","0,00 %","0,00 %","6,95 %","0,43 %","2,82 %","10,86 %","0,86 %","0,43 %","1,08 %","0,21 %","0,21 %","6,52 %","0,00 %","0,00 %","2,17 %","30,86 %","0,00 %","0,00 %","11,08 %","0,00 %","2,60 %","0,00 %","0,00 %","18,04 %","0,21 %"
507181,Prûno,789,497,496,"10,28 %","0,40 %","0,20 %","5,84 %","0,20 %","6,65 %","6,25 %","0,20 %","0,40 %","1,20 %","0,00 %","0,20 %","7,86 %","0,00 %","0,20 %","3,62 %","28,83 %","0,20 %","0,00 %","8,87 %","0,00 %","1,20 %","0,60 %","0,00 %","15,92 %","0,80 %"
552577,PstruûÌ,780,512,508,"9,64 %","0,00 %","0,00 %","7,28 %","0,39 %","4,72 %","6,49 %","1,37 %","0,19 %","1,37 %","0,19 %","0,00 %","11,81 %","0,00 %","0,39 %","1,96 %","31,29 %","1,57 %","0,19 %","7,67 %","0,00 %","0,78 %","0,39 %","0,00 %","12,20 %","0,00 %"
549665,Raökovice,1 497,956,952,"7,35 %","0,31 %","0,10 %","5,35 %","0,00 %","2,20 %","13,55 %","0,42 %","0,52 %","1,15 %","0,21 %","0,00 %","9,24 %","0,00 %","0,00 %","2,41 %","33,40 %","0,00 %","0,00 %","5,35 %","0,00 %","0,73 %","0,10 %","0,10 %","17,12 %","0,31 %"
556971,Ropice,1 265,777,777,"4,24 %","0,00 %","0,25 %","8,49 %","0,00 %","2,31 %","5,92 %","1,41 %","0,77 %","1,41 %","0,38 %","0,00 %","7,33 %","0,12 %","0,12 %","1,93 %","31,27 %","0,38 %","0,25 %","18,53 %","0,00 %","0,64 %","0,12 %","0,12 %","13,51 %","0,38 %"
552640,ÿeka,450,261,258,"6,58 %","2,71 %","0,00 %","6,97 %","0,38 %","1,16 %","8,13 %","1,16 %","1,16 %","3,87 %","0,00 %","0,38 %","4,26 %","0,00 %","0,00 %","1,16 %","32,94 %","0,00 %","0,00 %","9,68 %","0,00 %","0,77 %","0,00 %","0,38 %","17,44 %","0,77 %"
568830,ÿepiötÏ,1 434,993,990,"11,81 %","0,20 %","0,10 %","9,39 %","0,00 %","4,64 %","8,28 %","1,01 %","0,40 %","1,01 %","0,20 %","0,40 %","8,18 %","0,00 %","0,10 %","2,42 %","34,04 %","0,00 %","0,10 %","4,64 %","0,00 %","0,90 %","0,30 %","0,00 %","11,51 %","0,30 %"
598674,SedliötÏ,1 261,845,840,"10,59 %","0,00 %","0,00 %","7,61 %","0,23 %","2,02 %","8,80 %","1,19 %","0,47 %","1,66 %","0,23 %","0,23 %","9,52 %","0,00 %","0,00 %","2,85 %","31,30 %","0,35 %","0,59 %","8,21 %","0,00 %","0,35 %","0,00 %","0,00 %","13,33 %","0,35 %"
